Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6eoQPNPGH5Qa30JHHV5QV1,"Night Eyes","Fever Dream","The Orion Experience",2021-10-22,238775,40,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Sweet! Records",0.675,0.862,9,-4.349,0,0.028,0.00509,0.000016,0.274,0.617,108.004,4
77G0k1La0c5Dw8bAFANcyp,"Sports","Sports","Beach Bunny",2018-01-01,164165,14,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Mom+Pop",0.231,0.877,9,-5.278,1,0.0574,0.000653,0.026,0.0694,0.524,186.142,4
1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular","MGMT",2007-12-14,302840,78,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"indie,indietronica","Red Ink/Columbia",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
7FbrGaHYVDmfr7KoLIZnQ7,"Cupid - Twin Ver.","The Beginning: Cupid","FIFTY FIFTY",2023-02-24,174253,33,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"k-pop","WM Korea",0.783,0.592,11,-8.332,0,0.0331,0.435,0.00000415,0.347,0.726,120.018,4
2KBYPTSTHjYYOPACrFTkPy,"Punk Tactics","Punk Tactics","Joey Valence & Brae",2022-04-15,143552,1,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Joey Valence & Brae",0.513,0.974,1,-1.113,0,0.508,0.0159,0,0.0712,0.503,195.767,4
013nR3DQWmklB6Bc43UXB9,"edibles","atari (deluxe)","reptilelegit",2021-08-20,124769,17,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"meme rap","ReptileLegit",0.762,0.683,0,-8.774,1,0.19,0.0383,0,0.0922,0.85,159.976,4
0Oqc0kKFsQ6MhFOLBNZIGX,"Doin' Time","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,202192,76,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Polydor Records",0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,4
5ARVelhkMyLfWaUKmjjK4p,"Keep Your Rifle by Your Side - Choir Version","Far Cry 5 Presents: When the World Falls (Original Game Soundtrack)","The Hope County Choir",2018-03-27,175570,45,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"sea shanties","Ubisoft Music",0.708,0.46,1,-10.038,1,0.0302,0.822,0,0.0811,0.782,101.063,4
0DwVfCYLrVXgvejYbWwZAd,"Break It Off","Break It Off","PinkPantheress",2021-06-04,95317,61,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"bedroom pop","Parlophone UK",0.544,0.888,6,-5.003,0,0.116,0.00311,0.0000078,0.076,0.746,171.69,4
37ebs6hDGOWK8SDAB2kZG5,"Friction","Smoke + Mirrors (Deluxe)","Imagine Dragons",2015-10-23,201813,45,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Kid Ina Korner / Interscope",0.65,0.548,8,-8.767,1,0.0357,0.0406,0.0426,0.292,0.289,103.949,4
